message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,A payment reminder contains a near-term deadline or late-fee risk that the user should see now.,0.96,message_0243;message_0263
msg_091,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.97,message_0238
msg_090,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.83,none
msg_048,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.97,message_0151
msg_040,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.97,message_0136;message_0135
msg_075,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.89,message_0206;message_0205
msg_005,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.91,message_0049;message_0390
msg_104,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.89,message_0232;message_0050
msg_069,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.97,message_0177;message_0194
msg_107,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.97,message_0174;message_0173
msg_070,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.97,message_0369
msg_003,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.89,message_0400;message_0031
msg_099,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.87,message_0227
msg_008,notify,urgent,The verified business is sending a time-sensitive update that matches the user's active relationship.,0.91,message_0296;message_0071
msg_092,digest,payment,Payment reminder with no late-fee risk; appropriate for the next digest.,0.85,none
msg_060,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.97,message_0284;message_0176
msg_004,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.89,message_0245;message_0005
msg_030,mute,promotion,The user has muted this group; the non-urgent promotional content is not urgent enough to interrupt and can be read later.,0.83,message_0115;message_0113
msg_045,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.91,message_0146;message_0145
msg_052,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.97,message_0159;message_0207
msg_009,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.91,message_0074;message_0192
msg_071,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.91,message_0197;message_0198
msg_016,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.89,message_0024
msg_065,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.89,message_0261;message_0351
msg_038,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.97,message_0131;message_0132
msg_086,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.61,message_0222
msg_014,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.97,message_0258;message_0018
msg_094,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.93,none
msg_029,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.97,message_0113;message_0115
msg_105,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.97,message_0373;message_0233
msg_002,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.97,message_0003;message_0060
msg_010,notify,payment,The verified business reminder matches an active user bill or subscription that the user is tracking.,0.96,message_0011;message_0242
msg_078,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.97,message_0211;message_0212
msg_013,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.91,message_0114;message_0116
msg_018,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.97,message_0026
msg_044,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.97,message_0144;message_0143
msg_032,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.89,message_0119
msg_106,notify,urgent,The sender directly asks this user for a response or action; the time-sensitive content should interrupt the user immediately.,0.94,message_0377;message_0376
msg_006,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.97,message_0029;message_0044
msg_109,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.97,message_0151
